Idade	Genero	Estado_civil	Renda_mensal	Refeicao_mais_frequente	Avaliacao_media_anterior	Influenciado_por_nota
23	Feminino	Solteiro	Mais de 5.000	Lanches	< 4,5	0
23	Feminino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
20	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	0
20	Feminino	Solteiro	Até 5.000	Lanches	>= 4,5	1
23	Masculino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
24	Feminino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
22	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
26	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
26	Feminino	Casado	Mais de 5.000	Café da manhã	< 4,5	1
33	Feminino	Casado	Mais de 5.000	Lanches	>= 4,5	1
29	Masculino	Solteiro	Até 5.000	Lanches	>= 4,5	0
23	Feminino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
27	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
35	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
21	Feminino	Solteiro	Até 5.000	Lanches	>= 4,5	0
24	Masculino	Solteiro	Mais de 5.000	Café da manhã	< 4,5	0
25	Feminino	Solteiro	Até 5.000	Café da manhã	>= 4,5	0
33	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
34	Feminino	Solteiro	Até 5.000	Café da manhã	>= 4,5	1
31	Masculino	Solteiro	Mais de 5.000	Jantar	< 4,5	0
24	Masculino	Solteiro	Até 5.000	Almoço	< 4,5	0
27	Masculino	Casado	Mais de 5.000	Lanches	>= 4,5	1
20	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	0
33	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
25	Feminino	Casado	Até 5.000	Lanches	< 4,5	1
26	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
32	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
35	Masculino	Solteiro	Mais de 5.000	Jantar	< 4,5	1
30	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
23	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
22	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
38	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	0
21	Masculino	Solteiro	Até 5.000	Café da manhã	< 4,5	1
28	Feminino	Solteiro	Até 5.000	Jantar	>= 4,5	1
19	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
21	Masculino	Casado	Mais de 5.000	Lanches	< 4,5	0
23	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	0
23	Masculino	Solteiro	Mais de 5.000	Almoço	< 4,5	1
