ID_Cliente	N_pedidos	Valor	Dist_m_restaurante	Tempo_m_entrega
28	1	558	0.8	33
122	2	2685	2.6	24
152	12	2608	2.6	31
173	9	1634	1.2	45
204	2	562	2	53
397	13	3045	3.7	38
507	3	379	0.8	39
784	26	4782	2.7	44
931	3	2422	1.7	26
1117	2	2189	2	22
1493	4	2530	3.1	37
1503	3	1511	1.2	49
1544	17	1464	2.1	18
1635	41	7100	2.3	19
1709	3	966	3.3	30
2009	8	382	2.8	60
2059	18	2487	2.2	44
2061	2	2891	1.8	45
2179	23	4469	3.2	32
2223	11	3620	2.5	44
2637	11	5323	2.1	17
2682	2	20	1.6	30
2985	13	7160	1.9	54
3031	6	4278	2.2	28
3037	22	9536	1.8	27
3154	5	685	1.6	33
3450	10	2496	2.3	24
3808	22	313	0.8	25
4307	10	3400	2.7	37
4395	1	368	2.7	64
4986	4	832	2.5	37
4990	1	364	3.3	34
4994	11	3398	2.8	22
5506	5	537	3.7	43
5754	12	4411	2.1	44
5835	24	15566	1.7	28
5916	2	798	0.7	47
6013	1	623	4.1	31
6098	3	578	3.6	29
6115	20	3782	3.3	25
6350	9	647	1.7	28
6426	2	816	3.1	38
6450	1	186	4.4	31
6459	17	4950	2.4	49
6497	90	17304	3.6	30
6712	31	12723	2.7	32
6955	25	9188	3.6	38
7059	1	619	1	24
7079	2	80	2.5	37
7222	7	4769	3.1	42
7289	19	8280	2.7	50
7365	5	1753	1.8	41
7451	35	26037	3.5	18
7521	9	3560	2.4	44
7527	4	39	1.8	47
7714	4	14	1.9	42
7826	14	3189	2.4	45
7852	9	172	3.3	50
8014	15	764	2.1	20
8432	1	180	2.3	37
8457	5	2090	0.9	49
8637	11	11040	1.1	38
8738	7	3817	2	59
8762	4	294	2.3	55
8874	4	2692	2.3	56
8922	4	2903	2	51
9078	2	17	2.7	35
9104	15	1351	3	23
9285	6	2076	3.2	48
9430	3	842	2.6	42
9435	3	3457	3.8	32
9736	2	538	0	18
10013	39	14455	2.5	29
10021	12	1592	1.9	24
10115	8	5230	2.9	22
10214	1	43	4	56
10359	2	365	2.7	56
10391	2	884	3.7	27
10413	2	1713	3.6	18
10538	44	20784	3.6	20
10615	2	693	2.9	34
10730	6	2642	1.7	25
10775	1	168	2.3	40
10825	2	1691	1.1	16
10882	7	1382	2.2	15
10951	9	4163	3.7	49
10982	39	5219	3.1	22
10999	2	538	2	30
11469	6	2985	1.9	27
11514	1	164	3.8	55
11637	1	21	1.4	45
11683	4	893	1.6	33
11705	1	304	3.6	18
11724	14	9858	2.3	16
11874	5	3420	2.7	41
12296	21	10723	2.9	17
12429	2	25	3.4	47
12575	22	2320	2.6	36
12589	4	99	2.3	25
12828	25	12315	2.1	20
12831	5	115	2.1	33
12972	4	588	1.5	25
13115	1	536	1.1	31
13382	9	4637	1.7	58
13525	32	17455	3.4	35
13648	6	1694	2.2	45
13662	18	9537	2.9	55
13681	7	1097	1.5	39
13822	6	4097	3.1	21
13900	22	4425	2.9	50
14016	3	165	2.4	36
14020	1	278	3.3	39
14037	4	2244	4	46
14038	39	4525	2.3	23
14402	3	1501	3.4	45
14407	11	1508	4.1	23
14478	90	59944	2.4	57
14696	3	75	1.8	49
14913	5	511	1.7	36
15096	5	85	3.8	56
15104	2	1038	2.9	25
15268	71	31661	2.4	51
15355	8	2774	3	33
15415	1	70	1.3	60
15461	1	27	3.7	18
15501	3	1172	2.9	59
15614	5	1229	3.4	33
15652	3	1536	0.5	26
15729	2	25	0.8	54
15977	3	1331	2.7	23
16034	14	4122	2.2	23
16207	3	34	3.2	59
16376	3	10	2.5	51
16490	3	736	2.8	36
16498	28	4741	2.8	46
16680	11	3105	1.6	34
16735	20	11147	3.3	40
16809	7	3024	2.6	18
16833	1	488	2.6	50
17191	35	21973	2.2	21
17276	5	1890	1.8	32
17357	2	444	1.9	50
17373	8	1340	2.7	16
17427	3	1373	3.5	71
17679	16	4896	3.1	35
17709	48	5783	2.1	51
17978	22	10259	2.7	44
18227	1	522	3.1	21
18480	4	470	1.7	17
18571	9	2868	1.8	25
18767	10	9020	1.6	32
18786	3	545	2.7	53
18933	7	1862	1.3	54
18937	3	552	1.1	21
18966	3	75	2	47
19067	1	507	0.5	21
19079	2	1030	2.2	20
19818	6	3984	0.9	18
19875	6	848	3.3	30
19893	8	3959	2.5	18
20004	27	18888	2.6	48
20018	2	1712	1.3	53
20343	19	9483	1.5	32
20465	1	71	2.9	58
20552	5	909	3.7	29
20605	8	28	3.4	17
20643	1	214	1.9	49
20976	7	1832	2.1	37
21053	12	1245	1.4	49
21123	46	3649	1.6	27
21294	1	586	3.8	23
21474	7	1659	0.4	29
21550	9	3569	1.8	26
21600	6	792	2.6	38
21606	1	439	2.1	53
21633	19	2458	1.8	34
22012	9	4472	2.3	62
22037	1	130	3.4	54
22258	8	2725	3.4	17
22344	15	4762	2.9	53
22432	1	984	1.1	44
22434	1	156	2.8	70
22551	25	20424	3.5	19
22614	3	293	3.6	42
23024	7	1348	3.1	60
23056	1	135	0.4	25
23201	4	492	1.6	53
23323	2	388	2.2	54
23508	3	1212	2.8	17
23673	3	311	3.6	48
23889	1	32	1.5	36
23984	1	283	0.4	43
24348	6	3060	1.9	45
24349	1	624	3.6	69
24436	4	526	1.7	41
24480	18	11027	2.9	20
24487	7	396	2.5	19
24536	93	58185	1.8	21
24590	12	1272	3.3	62
24650	1	54	1.4	44
24698	1	560	0.9	22
24733	1	282	2.6	62
24923	6	3232	2.3	39
25270	18	5502	2	44
25331	2	1792	1.6	41
25486	26	11658	2.5	47
25578	1	43	0.9	22
25768	9	1859	2.7	22
25838	1	122	1.6	47
25967	1	505	2.3	58
26180	5	993	1.5	56
26321	3	912	2	48
26417	2	846	0.6	28
26587	40	3216	2.5	39
