Investimento_PeD	Investimento_em_Mkt	Gastos_Administrativos	Estado	Lucro
0	45173.06	116983.8	Rio de Janeiro	14681.4
542.05	0	51743.15	São Paulo	35673.41
0	0	135426.92	Rio de Janeiro	42559.73
1315.46	297114.46	115816.21	São Paulo	49490.75
1000.23	1903.93	124153.04	São Paulo	64926.08
20177.74	28334.72	154806.14	Rio de Janeiro	65200.33
15505.73	35534.17	127382.3	São Paulo	69758.98
38416.51125	148001.11	96189.63	Rio de Janeiro	71498.49
27892.92	164470.71	84710.77	São Paulo	77798.83
41128.031	172795.67	118546.05	Rio de Janeiro	78239.91
38558.51	174999.3	82982.09	Rio de Janeiro	81005.76
10229.59	185265.1	65947.93	São Paulo	81229.06
44069.95	197029.42	51283.14	Rio de Janeiro	89949.14
28663.76	201126.82	127056.21	São Paulo	90708.19
46014.02	205517.64	85047.44	São Paulo	96479.51
86426.07	210797.67	157693.92	Rio de Janeiro	96712.8
35493.95	214634.81	103057.49	São Paulo	96778.92
53408.86	46085.25	129219.61	Rio de Janeiro	97427.84
81136.38	88218.23	152701.92	São Paulo	97483.56
31994.48	91131.24	115641.28	São Paulo	99937.59
65605.48	107138.38	153032.06	São Paulo	101004.64
46051.52	118148.2	182645.56	São Paulo	103282.38
72107.6	353183.81	127864.55	São Paulo	105008.31
55328.87	134050.07	144135.98	São Paulo	105733.54
94664.71	137962.62	139553.16	Rio de Janeiro	107404.34
77044.01	140574.81	99281.34	São Paulo	108552.04
87532.53	304768.73	105751.03	São Paulo	108733.99
73994.56	303319.26	122782.75	São Paulo	110352.25
98389.47	299737.29	153773.43	São Paulo	111313.02
56253.86	298664.47	113867.3	Rio de Janeiro	118474.03
86419.7	0	153514.11	São Paulo	122776.86
41749.16	294919.57	114175.79	São Paulo	124266.9
94657.16	282574.31	145077.58	São Paulo	125370.37
78013.11	264346.06	121597.55	Rio de Janeiro	126992.93
114523.61	261776.23	122616.84	São Paulo	129917.04
69943.24	256512.92	156547.42	São Paulo	132602.65
71992.39	252664.93	135495.07	Rio de Janeiro	134307.35
93863.75	249839.44	127320.38	São Paulo	141585.52
100671.96	249744.55	91790.61	Rio de Janeiro	144259.4
81913.08	229160.95	110594.11	São Paulo	146121.95
123334.88	304981.62	108679.17	Rio de Janeiro	149759.96
60542.52	311613.29	148718.95	São Paulo	152211.77
130298.13	323876.68	145530.06	São Paulo	155752.6
104615.46	27716.82	147198.87	Rio de Janeiro	156122.51
131876.9	362861.36	99814.71	São Paulo	156991.12
112107.34	366168.42	91391.77	São Paulo	166187.94
144372.41	383199.62	118671.85	São Paulo	182901.99
123441.51	407934.54	101145.55	São Paulo	191050.39
142597.7	443898.53	151377.59	Rio de Janeiro	191792.06
135349.2	471784.1	136897.8	São Paulo	192261.83
