Idade,Insatisfacao,viagensNegocio,Diária,Departamento,DistanciadeCasa,Educacao,CampoEducacao,NumerodoFuncionario,SatisfacaoAmbiente,Genero,HorasTrabalhadas,EnvovimentoTrabalho,NivelnoTrabalho,Cargo,SatisfacaoTrabalho,StatusCivil,Renda Mensal,Taxa mensal,EmpresasTrabalhadas,Hora Extra,TaxaPerformance,SatisfacaoRelacionamento,HorasPadrao,NivelRemuneracaoVariavel,TempoTotalTrabalho,TempoTreinamentoAnosAnteriores,EquilibrioVidaTrabalho,AnosEmpresa,AnosMesmaPosicao,AnosDesdeUltimaPromocao,AnosMesmoGestor,teste aula
41,Sim,viaja-raramente,1102,Vendas,1,2,Ciencias Sociais,1,2,Feminino,94,3,2,Executivo de Vendas,4,Solteiro,5993,19479,8,Sim,3,1,80,0,8,0,1,6,4,0,5,1
49,Nao,viaja-frequentemente,279,P & D,8,1,Ciencias Sociais,2,3,Masculino,61,2,2,Pesquisador,2,Casado,5130,24907,1,Não,4,4,80,1,10,3,3,10,7,1,7,2
37,Sim,viaja-raramente,1373,P & D,2,2,Outros,4,4,Masculino,92,2,1,Tecnico de Laboratorio,3,Solteiro,2090,2396,6,Sim,3,2,80,0,7,3,3,0,0,0,0,3
33,Nao,viaja-frequentemente,1392,P & D,3,4,Ciencias Sociais,5,4,Feminino,56,3,1,Pesquisador,3,Casado,2909,23159,1,Sim,3,3,80,0,8,3,3,8,7,3,0,4
27,Nao,viaja-raramente,591,P & D,2,1,Medicina,7,1,Masculino,40,3,1,Tecnico de Laboratorio,2,Casado,3468,16632,9,Não,3,4,80,1,6,3,3,2,2,2,2,5
32,Nao,viaja-frequentemente,1005,P & D,2,2,Ciencias Sociais,8,4,Masculino,79,3,1,Tecnico de Laboratorio,4,Solteiro,3068,11864,0,Não,3,3,80,0,8,2,2,7,7,3,6,6
59,Nao,viaja-raramente,1324,P & D,3,3,Medicina,10,3,Feminino,81,4,1,Tecnico de Laboratorio,1,Casado,2670,9964,4,Sim,4,1,80,3,12,3,2,1,0,0,0,7
30,Nao,viaja-raramente,1358,P & D,24,1,Ciencias Sociais,11,4,Masculino,67,3,1,Tecnico de Laboratorio,3,Divorciado,2693,13335,1,Não,4,2,80,1,1,2,3,1,0,0,0,8
38,Nao,viaja-frequentemente,216,P & D,23,3,Ciencias Sociais,12,4,Masculino,44,2,3,Diretor de Manufatura,3,Solteiro,9526,8787,0,Não,4,2,80,0,10,2,3,9,7,1,8,9
36,Nao,viaja-raramente,1299,P & D,27,3,Medicina,13,3,Masculino,94,3,2,Representante da Saude,3,Casado,5237,16577,6,Não,3,2,80,2,17,3,2,7,7,7,7,10
35,Nao,viaja-raramente,809,P & D,16,3,Medicina,14,1,Masculino,84,4,1,Tecnico de Laboratorio,2,Casado,2426,16479,0,Não,3,3,80,1,6,5,3,5,4,0,3,11
29,Nao,viaja-raramente,153,P & D,15,2,Ciencias Sociais,15,4,Feminino,49,2,2,Tecnico de Laboratorio,3,Solteiro,4193,12682,0,Sim,3,4,80,0,10,3,3,9,5,0,8,12
31,Nao,viaja-raramente,670,P & D,26,1,Ciencias Sociais,16,1,Masculino,31,3,1,Pesquisador,3,Divorciado,2911,15170,1,Não,3,4,80,1,5,1,2,5,2,4,3,13
34,Nao,viaja-raramente,1346,P & D,19,2,Medicina,18,2,Masculino,93,3,1,Tecnico de Laboratorio,4,Divorciado,2661,8758,0,Não,3,3,80,1,3,2,3,2,2,1,2,14
28,Sim,viaja-raramente,103,P & D,24,3,Ciencias Sociais,19,3,Masculino,50,2,1,Tecnico de Laboratorio,3,Solteiro,2028,12947,5,Sim,3,2,80,0,6,4,3,4,2,0,3,15
29,Nao,viaja-raramente,1389,P & D,21,4,Ciencias Sociais,20,2,Feminino,51,4,3,Diretor de Manufatura,1,Divorciado,9980,10195,1,Não,3,3,80,1,10,1,3,10,9,8,8,16
32,Nao,viaja-raramente,334,P & D,5,2,Ciencias Sociais,21,1,Masculino,80,4,1,Pesquisador,2,Divorciado,3298,15053,0,Sim,3,4,80,2,7,5,2,6,2,0,5,17
